user_id,signup_date,plan_tier,industry,company_size,country,primary_feature,mrr,dau_avg,sessions_30d,api_calls_30d,storage_gb,feature_count_used,support_tickets_30d,nps_score,login_streak_days,time_to_first_value_days,avg_session_minutes,payment_method,status,last_login_date,subscription_renewal_date,churn_date,first_payment_date,beta_analytics_enabled,beta_ai_enabled,payment_failed,support_ticket_open,champion_user,mobile_app_user
USR0017,2019-10-26,Starter,Media,11-50,India,Integration,99,6,137,12327,31,10,0,4,45,4,27,Credit Card,Active,2026-03-13,2027-01-17,,2019-10-31,false,false,false,false,false,false
USR0018,2024-08-29,Starter,Education,11-50,Canada,Integration,99,8,181,9307,19,9,0,7,44,2,31,Credit Card,Active,2026-03-15,2026-10-16,,2024-09-04,false,false,false,false,false,true
USR0019,2024-03-23,Starter,Ecommerce,51-200,India,Reporting,99,2,7,783,32,11,0,7,9,15,25,Credit Card,Paused,2026-02-13,,,2024-03-27,false,false,false,false,false,false
USR0020,2024-03-29,Enterprise,Education,201-1000,India,Reporting,4499,1,5,21066,423,24,0,6,4,13,52,Credit Card,Paused,2026-01-19,,,2024-04-01,false,false,false,false,false,true
USR0021,2019-10-09,Professional,Media,1-10,US,Automation,499,0,5,4489,155,13,0,7,9,12,29,Credit Card,Paused,2026-01-26,,,2019-10-10,true,false,false,false,false,false
USR0022,2021-03-23,Free,Media,11-50,Germany,Analytics,0,1,21,1416,2,4,0,7,3,14,20,,Active,2026-03-13,2026-05-26,,,false,false,false,false,false,false
USR0023,2020-09-18,Starter,Media,11-50,France,Reporting,99,6,131,9616,16,11,0,7,39,10,17,Credit Card,Active,2026-03-14,2026-10-09,,2020-09-22,false,false,false,false,false,false
USR0024,2022-02-05,Starter,Education,201-1000,UK,Automation,99,7,154,10587,30,7,0,6,47,6,17,Credit Card,Active,2026-03-12,2026-03-21,,2022-02-09,false,false,false,false,false,false
USR0025,2022-06-09,Free,SaaS,11-50,Australia,Analytics,0,2,43,988,4,5,0,5,12,4,11,,Active,2026-03-11,2026-08-16,,,false,false,false,false,false,true
USR0026,2020-06-01,Starter,Other,11-50,US,Reporting,99,10,187,9284,17,7,0,4,19,3,18,PayPal,Active,2026-03-14,2026-06-11,,2020-06-03,false,false,false,false,false,false
USR0027,2021-07-13,Professional,Healthcare,51-200,Other,Collaboration,499,16,334,44527,123,16,0,9,52,9,32,Credit Card,Active,2026-03-12,2026-09-11,,2021-07-16,true,true,false,false,false,true
USR0028,2021-03-21,Starter,Education,1-10,Canada,Collaboration,99,9,155,9318,20,7,0,5,42,9,5,Credit Card,Active,,2026-06-07,,2021-03-22,false,false,false,false,false,false
USR0029,2021-07-26,Enterprise,Other,1000+,US,Collaboration,2499,31,723,140452,546,20,0,9,260,6,39,Invoice,Active,2026-03-11,2026-09-27,,2021-07-29,false,false,false,false,true,true
USR0030,2023-07-14,Professional,Other,1000+,Other,Integration,499,,,,102,13,0,2,0,8,38,Credit Card,Churned,,,2024-12-02,2023-07-16,false,true,true,false,false,false
USR0031,2020-04-26,Starter,Ecommerce,11-50,France,Reporting,99,6,119,8578,18,9,0,7,59,13,26,PayPal,Active,2026-03-14,2026-06-30,,2020-04-29,false,false,false,false,false,true
USR0032,2024-06-28,Professional,Healthcare,51-200,Australia,Collaboration,499,14,245,35947,195,11,0,8,55,15,34,Invoice,Active,2026-03-11,2026-07-17,,2024-07-02,false,true,false,false,false,true
USR0033,2020-02-13,Starter,Healthcare,1-10,Canada,Integration,99,6,99,8694,22,7,0,6,30,11,15,PayPal,Active,2026-03-13,2026-04-23,,2020-02-14,false,false,false,false,false,true
USR0034,2021-07-20,Professional,Healthcare,1000+,UK,Integration,499,23,378,28155,148,16,0,8,52,2,25,Invoice,Active,2026-03-13,2026-10-02,,2021-07-22,true,false,false,false,false,false
USR0035,2022-03-24,Professional,Ecommerce,1-10,Australia,Reporting,499,15,322,27189,205,12,0,7,54,5,37,Credit Card,Active,2026-03-11,2026-05-15,,2022-03-27,true,false,false,false,false,false
USR0036,2022-03-18,Professional,Ecommerce,51-200,Australia,Automation,499,15,319,39389,178,13,0,5,47,6,31,Credit Card,Active,2026-03-11,2026-05-12,,2022-03-20,true,false,false,false,false,true
USR0037,2020-11-04,Free,Other,51-200,France,Collaboration,0,2,33,983,4,4,0,5,15,1,14,,Active,2026-03-14,2027-01-08,,,false,false,false,false,false,true
USR0038,2023-04-10,Professional,Finance,11-50,Germany,Integration,499,10,133,6387,212,13,0,1,0,1,25,PayPal,Churned,,,2025-05-08,2023-04-11,true,false,true,false,false,false
USR0039,2023-09-13,Starter,Media,1-10,India,Analytics,99,11,236,7467,22,11,0,6,51,6,29,PayPal,Active,2026-03-13,2026-09-22,,2023-09-19,false,false,false,false,false,false
USR0040,2022-09-28,Free,Ecommerce,11-50,Germany,Analytics,0,3,62,1013,4,4,0,,20,5,13,,Active,2026-03-15,2026-10-10,,,false,false,false,false,false,true
USR0041,2021-09-01,Starter,SaaS,1-10,US,Automation,99,8,177,6874,33,7,0,5,52,9,20,Credit Card,Active,2026-03-13,2026-10-20,,2021-09-05,false,false,false,false,false,false
USR0042,2019-11-27,Starter,Ecommerce,1-10,France,Reporting,99,12,223,11229,27,7,0,8,59,9,14,PayPal,Active,2026-03-15,2027-01-18,,2019-12-01,false,false,false,false,false,false
USR0043,2020-01-25,Starter,Finance,11-50,Australia,Automation,99,9,175,9203,16,11,0,7,52,2,10,PayPal,Active,2026-03-13,2026-02-01,,2020-01-28,false,false,false,false,false,true
USR0044,2024-05-29,Free,SaaS,1-10,Australia,Analytics,0,3,67,1570,4,5,3,7,27,5,17,,Active,2026-03-14,2026-07-13,,,false,false,true,false,false,false
USR0045,2019-05-06,Free,Education,1-10,India,Integration,0,2,41,616,4,5,0,3,24,7,7,,Active,2026-03-14,2026-06-03,,,false,false,false,false,false,true
USR0046,2024-06-16,Starter,Finance,1-10,India,Reporting,99,4,30,5702,20,7,0,3,0,3,30,Credit Card,Churned,,,2025-02-07,2024-06-23,false,false,true,false,false,true
USR0047,2019-11-15,Professional,Education,51-200,India,Integration,499,24,569,33716,184,14,0,9,81,9,37,Credit Card,Active,2026-03-14,2026-12-25,,2019-11-17,true,true,false,false,true,false
USR0048,2020-08-27,Free,Ecommerce,1-10,Canada,Reporting,0,1,13,441,4,5,0,5,0,11,12,,Churned,2025-07-07,,2025-02-28,,false,false,true,false,false,false
USR0049,2019-08-19,Starter,SaaS,1-10,Other,Analytics,99,4,51,4925,24,9,0,0,0,8,21,PayPal,Churned,,,2025-10-11,2019-08-22,false,false,false,false,false,false
USR0050,2022-11-07,Enterprise,SaaS,201-1000,Canada,Analytics,3499,32,605,176088,628,20,0,8,261,2,42,Invoice,Active,2026-03-14,2027-01-27,,2022-11-12,false,true,false,false,false,true
USR0051,2023-05-25,Free,Media,51-200,France,Reporting,0,4,90,1359,4,4,0,4,14,5,19,,Active,2026-03-15,2026-06-22,,,false,false,false,false,false,false
USR0052,2020-09-26,Free,Other,11-50,US,Collaboration,0,2,34,1232,4,3,0,5,26,4,26,,Active,2026-03-11,2026-11-20,,,false,false,false,false,false,true
USR0053,2021-03-05,Starter,Education,1000+,Other,Collaboration,99,8,154,6139,32,7,0,4,55,14,37,ACH,Active,2026-03-16,2026-04-12,,2021-03-06,false,false,false,false,false,true
USR0054,2023-11-27,Free,Ecommerce,11-50,Australia,Analytics,0,2,33,813,4,4,0,7,4,5,23,,Active,,2027-02-22,,,false,false,false,false,false,false
USR0055,2021-06-02,Professional,Education,1000+,India,Analytics,499,15,254,29875,104,17,0,5,46,4,29,PayPal,Active,2026-03-14,2026-07-26,,2021-06-03,false,true,false,false,false,false
USR0056,2019-10-05,Enterprise,Education,201-1000,US,Integration,3499,67,1080,162457,606,30,0,8,260,3,56,ACH,Active,2026-03-15,2026-12-29,,2019-10-09,false,false,false,false,false,true
USR0057,2019-06-01,Free,SaaS,11-50,US,Collaboration,0,3,71,912,3,4,0,6,6,13,10,,Active,2026-03-14,2026-07-26,,,false,false,false,false,false,false
USR0058,2021-02-04,Starter,Healthcare,1-10,France,Analytics,99,4,81,6107,21,10,0,5,25,8,22,PayPal,Active,2026-03-14,2026-04-23,,2021-02-08,false,false,false,false,false,false
USR0059,2023-07-22,Starter,Other,11-50,Canada,Analytics,99,,,,30,8,0,4,0,1,14,PayPal,Churned,,,2024-12-21,2023-07-23,false,false,false,false,false,false
USR0060,2020-04-09,Free,Ecommerce,1-10,India,Reporting,0,1,12,399,4,5,0,1,0,14,20,,Churned,2025-11-07,,2025-01-31,,false,false,false,false,false,false
USR0061,2022-04-04,Professional,Other,11-50,Canada,Collaboration,499,20,352,30627,166,14,0,6,41,2,28,Credit Card,Active,2026-03-11,2026-06-05,,2022-04-09,true,false,false,false,false,true
USR0062,2024-03-23,Professional,Finance,11-50,Canada,Automation,499,21,361,23653,140,18,0,8,40,5,38,Credit Card,Active,2026-03-11,2026-05-02,,2024-03-28,true,false,false,false,false,false
USR0063,2022-10-14,Professional,Education,1-10,US,Analytics,499,,,,149,16,0,5,0,9,27,Credit Card,Churned,2025-01-18,,2025-08-16,2022-10-18,true,true,false,false,false,false
USR0064,2022-07-31,Professional,Other,11-50,India,Automation,499,32,539,21369,114,11,0,,171,14,25,Credit Card,Active,2026-03-12,2026-09-09,,2022-08-02,false,false,false,false,false,true
USR0065,2024-09-01,Starter,Ecommerce,1-10,Australia,Analytics,99,,,,23,11,0,6,0,7,24,Credit Card,Churned,,,2025-03-30,2024-09-06,false,false,true,false,false,false
USR0066,2022-02-19,Professional,Education,51-200,UK,Automation,499,20,470,28946,160,11,0,6,72,13,23,ACH,Active,2026-03-12,2026-03-08,,2022-02-22,false,true,false,false,false,false
USR0067,2024-09-08,Professional,Education,51-200,France,Integration,499,20,427,40641,188,16,4,7,104,10,43,Credit Card,Active,2026-03-16,2026-11-19,,2024-09-12,true,false,false,false,false,true
USR0068,2020-03-26,Free,Healthcare,1-10,Canada,Integration,0,3,68,861,3,4,0,2,19,7,14,,Active,2026-03-12,2026-05-10,,,false,false,false,false,false,false
USR0069,2021-12-18,Starter,Ecommerce,201-1000,France,Reporting,99,10,238,11316,24,9,0,9,28,2,18,ACH,Active,2026-03-12,2027-02-01,,2021-12-22,false,false,false,false,false,false
USR0070,2022-03-24,Enterprise,SaaS,51-200,Other,Collaboration,4999,17,366,139338,436,28,0,8,111,4,54,ACH,Active,2026-03-16,2026-06-21,,2022-03-31,true,false,false,false,false,true
USR0071,2024-05-02,Starter,Ecommerce,51-200,France,Collaboration,99,9,199,8034,32,7,0,4,12,14,31,Credit Card,Active,,2026-05-26,,2024-05-08,false,false,false,false,false,false
USR0072,2020-03-15,Enterprise,Finance,51-200,Other,Automation,2499,60,1310,893709,459,29,5,7,297,14,40,Invoice,Active,2026-03-16,2026-04-09,,2020-03-17,true,false,true,false,false,false
USR0073,2019-02-16,Free,Finance,11-50,US,Analytics,0,3,64,1555,4,5,0,5,7,8,20,,Active,2026-03-15,2026-04-15,,,false,false,false,false,false,false
USR0074,2024-04-12,Professional,Other,51-200,Germany,Automation,499,20,404,36793,202,18,0,6,98,3,40,Credit Card,Active,2026-03-11,2026-05-09,,2024-04-18,true,true,false,false,false,false
USR0075,2024-02-15,Starter,Education,11-50,France,Analytics,99,13,285,6732,16,11,0,10,12,5,31,Credit Card,Active,2026-03-15,2026-05-08,,2024-02-21,false,false,false,false,false,false
USR0076,2023-03-27,Starter,Media,201-1000,Canada,Collaboration,99,5,35,6037,34,9,0,3,0,9,23,Credit Card,Churned,,,2025-05-25,2023-03-30,false,false,true,false,false,true
USR0077,2023-09-14,Starter,SaaS,1-10,UK,Analytics,99,6,107,6732,30,10,0,4,28,4,29,Credit Card,Active,2026-03-12,2026-12-07,,2023-09-21,false,false,false,false,false,true
USR0078,2021-06-24,Starter,Finance,1-10,Canada,Integration,99,4,75,8854,28,9,0,7,10,14,33,Credit Card,Active,2026-03-11,2026-07-12,,2021-07-01,false,false,false,false,false,true
USR0079,2024-12-10,Free,Ecommerce,1-10,Australia,Analytics,0,4,70,1031,5,3,0,7,26,11,7,,Active,2026-03-14,2027-01-14,,,false,false,false,false,false,true
USR0080,2020-04-25,Professional,Other,51-200,Germany,Reporting,499,16,286,25072,179,13,0,9,90,13,25,PayPal,Active,2026-03-15,2026-06-12,,2020-04-28,true,false,false,false,true,true
USR0081,2023-09-07,Free,Ecommerce,1-10,India,Reporting,0,2,36,1549,3,3,0,4,8,3,14,,Active,2026-03-12,2026-11-26,,,false,false,false,false,false,false
USR0082,2019-07-18,Professional,Healthcare,11-50,Germany,Analytics,499,2,7,3640,212,16,5,7,6,1,22,Credit Card,Paused,2025-12-30,,,2019-07-21,true,true,false,false,false,false
USR0083,2020-01-30,Starter,Ecommerce,1-10,France,Collaboration,99,7,143,9197,31,10,0,8,58,1,30,ACH,Active,2026-03-16,2026-04-22,,2020-01-31,false,false,false,false,false,true
USR0084,2022-09-18,Starter,Other,201-1000,US,Automation,99,10,231,6421,33,11,0,10,30,1,27,PayPal,Active,2026-03-12,2026-10-04,,2022-09-25,false,false,false,false,false,false
USR0085,2021-09-11,Starter,Other,1-10,Australia,Integration,99,13,260,8011,31,8,0,6,48,7,30,ACH,Active,2026-03-13,2026-11-10,,2021-09-13,false,false,false,false,false,false
USR0086,2023-04-06,Free,Education,1-10,Germany,Analytics,0,,,,3,3,3,3,0,6,16,,Churned,,,2025-06-09,,false,false,false,false,false,false
USR0087,2022-08-21,Professional,SaaS,11-50,India,Analytics,499,16,383,27991,117,13,0,8,65,7,35,Credit Card,Active,2026-03-16,2026-10-05,,2022-08-24,false,false,false,false,false,false
USR0088,2019-01-28,Enterprise,Finance,1000+,India,Collaboration,4999,83,1418,182708,468,32,0,5,239,12,43,Invoice,Active,2026-03-15,2026-03-11,,2019-02-01,true,false,false,false,false,false
USR0089,2021-01-06,Professional,Education,1-10,Other,Automation,499,12,258,42721,159,16,0,6,60,7,21,Credit Card,Active,2026-03-12,2026-03-09,,2021-01-11,true,false,false,false,false,false
USR0090,2023-01-12,Professional,Other,51-200,UK,Analytics,499,13,212,42880,192,18,0,9,10,2,31,ACH,Active,2026-03-12,2026-04-11,,2023-01-17,true,true,false,false,false,false
USR0091,2024-05-31,Free,Healthcare,51-200,UK,Analytics,0,4,75,1137,3,3,0,5,4,13,16,,Active,2026-03-11,2026-06-15,,,false,false,true,false,false,true
USR0092,2021-09-26,Starter,Education,1-10,India,Integration,99,10,194,7398,26,8,0,8,23,5,24,Credit Card,Active,2026-03-16,2026-12-01,,2021-09-28,false,false,false,false,false,true
USR0093,2024-06-27,Starter,Media,1-10,India,Reporting,99,4,75,7027,31,11,0,6,10,5,17,Credit Card,Active,2026-03-14,2026-09-23,,2024-06-29,false,false,false,false,false,false
USR0094,2021-01-30,Starter,Education,11-50,Canada,Reporting,99,10,209,13319,18,8,0,9,51,8,16,PayPal,Active,2026-03-13,2026-04-03,,2021-02-01,false,false,false,false,false,true
USR0095,2022-01-30,Free,Finance,1-10,Other,Reporting,0,3,61,658,5,4,0,8,20,4,19,,Active,2026-03-13,2026-02-13,,,false,false,false,false,false,false
USR0096,2019-05-13,Starter,Finance,51-200,UK,Integration,99,9,197,11836,23,10,0,6,23,13,30,Credit Card,Active,2026-03-12,2026-06-04,,2019-05-16,false,false,false,false,false,true
USR0097,2024-10-08,Enterprise,Media,1000+,Canada,Integration,4999,60,1274,134566,471,23,0,8,227,11,49,Invoice,Active,2026-03-13,2026-10-15,,2024-10-14,false,false,false,false,false,false
USR0098,2024-02-06,Enterprise,Finance,201-1000,UK,Integration,4999,73,1295,125905,694,24,0,9,338,13,40,Invoice,Active,2026-03-16,2026-04-27,,2024-02-13,false,true,false,false,false,false
USR0099,2020-06-24,Professional,Finance,11-50,France,Analytics,499,26,493,30019,135,16,0,6,30,4,21,Credit Card,Active,2026-03-15,2026-09-07,,2020-06-26,true,false,true,false,false,true
USR0100,2020-06-25,Starter,Ecommerce,1-10,UK,Analytics,99,12,264,9544,25,7,0,8,38,6,22,Credit Card,Active,2026-03-13,2026-09-11,,2020-07-01,false,false,false,false,false,true
USR0101,2020-05-19,Starter,Healthcare,1-10,India,Collaboration,99,5,105,8330,20,11,3,7,9,12,34,Credit Card,Active,2026-03-11,2026-05-26,,2020-05-26,false,false,false,false,false,false
USR0102,2019-10-18,Starter,SaaS,1000+,Australia,Automation,99,6,104,11375,26,7,0,7,13,13,18,PayPal,Active,2026-03-13,2026-12-09,,2019-10-24,false,false,false,false,false,false
USR0103,2019-12-09,Starter,Education,201-1000,Canada,Reporting,99,10,221,10383,23,11,0,7,17,8,42,ACH,Active,2026-03-16,2027-01-14,,2019-12-15,false,false,false,false,false,false
USR0104,2019-02-16,Free,Finance,1-10,France,Automation,0,4,67,1126,4,4,0,4,23,2,6,,Active,2026-03-16,2026-04-20,,,false,false,false,false,false,true
USR0105,2020-04-17,Free,Education,1-10,US,Automation,0,1,8,458,2,5,0,5,0,7,16,,Churned,2025-07-28,,2024-11-19,,false,false,true,false,false,true
USR0106,2024-10-13,Enterprise,Healthcare,11-50,Other,Collaboration,1499,67,1368,98938,463,28,0,7,190,12,41,Credit Card,Active,,2026-10-30,,2024-10-14,false,true,false,false,false,false
USR0107,2022-10-04,Free,Media,1-10,France,Analytics,0,1,13,462,2,4,0,3,0,12,15,,Churned,2025-05-03,,2025-12-03,,false,false,false,false,false,false
USR0108,2019-09-13,Starter,Ecommerce,1-10,France,Collaboration,99,10,196,9866,30,7,0,5,38,8,22,Credit Card,Active,2026-03-15,2026-11-07,,2019-09-16,false,false,false,false,false,false
USR0109,2022-05-31,Professional,Media,51-200,Germany,Collaboration,499,21,498,21840,200,12,0,9,100,4,23,Credit Card,Active,2026-03-16,2026-06-18,,2022-06-01,true,false,false,false,true,false
USR0110,2019-12-11,Starter,Finance,201-1000,UK,Analytics,99,6,100,12328,33,7,0,4,37,14,22,Credit Card,Active,2026-03-13,2026-12-30,,2019-12-14,false,false,false,false,false,true
USR0111,2019-05-22,Starter,Education,1-10,France,Integration,99,5,82,6250,32,9,0,7,15,13,10,PayPal,Active,2026-03-13,2026-07-31,,2019-05-29,false,false,false,false,false,false
USR0112,2021-01-06,Free,Education,1-10,France,Analytics,0,2,35,746,4,5,0,7,27,4,5,,Active,2026-03-13,2026-02-21,,,false,false,false,false,false,false
USR0113,2022-07-26,Professional,Media,51-200,US,Collaboration,499,11,225,34677,159,13,0,8,24,1,35,ACH,Active,2026-03-16,2026-09-06,,2022-07-31,true,true,false,false,false,false
USR0114,2019-03-31,Free,Media,51-200,UK,Reporting,0,1,19,749,2,5,0,8,18,11,10,,Active,2026-03-12,2026-06-29,,,false,false,false,false,false,false
USR0115,2020-12-19,Starter,Media,11-50,Canada,Automation,99,12,283,10974,15,10,0,8,46,2,22,PayPal,Active,2026-03-15,2027-01-27,,2020-12-25,false,false,false,false,false,true
USR0116,2019-12-30,Professional,Media,51-200,Australia,Integration,499,,,,152,14,0,3,0,8,43,PayPal,Churned,,,2025-07-07,2019-12-31,false,false,false,false,false,false
USR0117,2019-05-17,Free,Finance,1-10,UK,Analytics,0,3,70,1163,5,5,0,6,23,3,9,,Active,2026-03-16,2026-05-30,,,false,false,false,false,false,false
USR0118,2021-12-22,Professional,Finance,11-50,US,Integration,499,15,258,28134,180,16,0,8,28,2,32,Credit Card,Active,2026-03-16,2027-01-27,,2021-12-29,true,false,false,false,false,true
USR0119,2023-04-12,Starter,Healthcare,1-10,Other,Integration,99,7,151,7938,23,10,0,6,13,14,16,PayPal,Active,2026-03-11,2026-06-12,,2023-04-17,false,false,false,false,false,false
USR0120,2019-05-23,Starter,Education,51-200,Canada,Analytics,99,11,259,6212,15,7,0,7,19,14,38,ACH,Active,2026-03-14,2026-06-01,,2019-05-24,false,false,false,false,false,true
USR0121,2024-02-20,Enterprise,SaaS,201-1000,India,Analytics,3999,17,285,149378,711,31,0,7,63,7,41,Invoice,Active,2026-03-15,2026-03-27,,2024-02-24,true,false,false,false,false,true
USR0122,2021-08-31,Free,Healthcare,51-200,Australia,Analytics,0,2,36,1483,5,4,0,5,13,5,5,,Active,2026-03-11,2026-10-22,,,false,false,false,false,false,true
USR0123,2023-07-26,Professional,Other,51-200,Australia,Analytics,499,16,273,45138,120,17,0,9,61,1,14,PayPal,Active,2026-03-14,2026-09-11,,2023-08-02,true,true,false,false,false,true
USR0124,2024-04-27,Starter,Finance,1-10,France,Analytics,99,10,173,11807,27,10,0,6,59,13,24,Invoice,Active,2026-03-13,2026-05-14,,2024-05-03,false,false,false,false,false,false
USR0125,2022-06-05,Professional,Media,51-200,India,Integration,499,19,383,280252,219,17,0,9,106,10,29,Credit Card,Active,2026-03-14,2026-07-10,,2022-06-11,true,true,false,false,false,false
USR0126,2021-09-11,Professional,Other,201-1000,India,Collaboration,499,27,573,33338,145,11,0,7,58,11,29,ACH,Active,2026-03-13,2026-12-03,,2021-09-14,true,false,false,false,false,false
USR0127,2020-06-08,Professional,Media,201-1000,Canada,Collaboration,499,20,387,34430,155,12,5,10,104,10,47,ACH,Active,2026-03-11,2026-07-26,,2020-06-13,true,true,false,true,false,false
USR0128,2024-02-18,Free,Other,11-50,UK,Integration,0,3,55,805,4,4,0,6,7,10,5,,Active,,2026-05-10,,,false,false,false,false,false,false
USR0129,2024-12-26,Free,Finance,201-1000,Australia,Reporting,0,1,7,432,3,4,0,6,0,1,5,,Churned,,,2025-08-20,,false,false,false,false,false,false
USR0130,2020-07-02,Starter,Healthcare,1-10,Germany,Automation,99,7,152,8390,18,8,0,,12,7,28,ACH,Active,2026-03-16,2026-09-16,,2020-07-03,false,false,false,false,false,false
USR0131,2023-09-04,Starter,SaaS,11-50,Other,Automation,99,7,112,6532,27,10,0,8,49,2,18,Credit Card,Active,2026-03-16,2026-11-04,,2023-09-06,false,false,false,false,false,false
USR0132,2023-01-06,Professional,Finance,11-50,Other,Automation,499,19,317,26797,217,17,1,8,62,11,34,Credit Card,Active,2026-03-13,2026-01-13,,2023-01-07,false,false,false,false,false,false
USR0133,2019-07-07,Free,Ecommerce,11-50,Canada,Collaboration,0,5,104,936,2,4,0,5,30,8,23,,Active,2026-03-13,2026-09-28,,,false,false,false,false,false,true
USR0134,2020-10-14,Free,Education,1-10,Other,Automation,0,1,23,1437,3,5,0,4,5,5,15,,Active,2026-03-11,2026-12-18,,,false,false,false,false,false,false
USR0135,2022-10-17,Starter,Media,11-50,UK,Integration,99,8,150,9006,26,11,2,5,41,14,23,Credit Card,Active,2026-03-13,2026-11-25,,2022-10-19,false,false,false,true,false,false
USR0136,2021-08-20,Free,Healthcare,11-50,Other,Analytics,0,3,63,806,2,3,0,7,22,11,12,,Active,2026-03-15,2026-11-10,,,false,false,false,false,false,false
USR0137,2021-07-02,Professional,Finance,51-200,Other,Collaboration,499,25,551,24725,219,13,0,7,51,8,29,Credit Card,Active,2026-03-11,2026-08-23,,2021-07-03,true,true,false,false,false,false
USR0138,2021-02-19,Professional,SaaS,201-1000,US,Reporting,499,11,220,27020,166,14,0,8,42,13,36,ACH,Active,2026-03-11,2026-03-07,,2021-02-20,true,false,false,false,false,false
USR0139,2021-10-13,Free,Finance,201-1000,Other,Automation,0,1,10,558,4,4,0,4,0,11,17,,Churned,2025-01-18,,2025-02-05,,false,false,true,false,false,false
USR0140,2022-08-13,Professional,Other,51-200,Other,Reporting,499,22,425,42431,204,17,0,8,115,1,32,Credit Card,Active,2026-03-15,2026-09-17,,2022-08-19,true,false,false,false,false,true
USR0141,2024-01-28,Free,Other,11-50,Germany,Reporting,0,3,64,764,4,5,0,3,4,1,15,,Active,2026-03-13,2026-02-26,,,false,false,false,false,false,false
USR0142,2021-03-15,Professional,Ecommerce,11-50,Canada,Analytics,499,15,301,28385,112,15,0,6,19,1,43,Credit Card,Active,2026-03-14,2026-06-01,,2021-03-16,false,false,false,false,false,true
USR0143,2019-10-26,Professional,Finance,51-200,Canada,Reporting,499,5,51,5915,138,14,0,6,0,10,31,ACH,Churned,2024-10-27,,2025-02-17,2019-10-27,true,true,true,false,false,false
USR0144,2022-08-07,Starter,Other,201-1000,India,Collaboration,99,13,246,9878,32,7,0,5,16,3,37,ACH,Active,2026-03-11,2026-08-14,,2022-08-09,false,false,false,false,false,false
USR0145,2020-03-01,Free,Other,11-50,India,Analytics,0,2,39,726,4,4,0,6,15,8,22,,Active,2026-03-11,2026-04-23,,,false,false,false,false,false,true
