employee_id,employee_age,gender,department,job_level,location,education,hire_date,hire_source,tenure_years,employment_type,salary,bonus_pct,benefits_tier,performance_rating,training_hours_annual,sick_days_annual,vacation_days_annual,remote_eligible,remote_work_pct,overtime_hours_annual,last_promotion_date,years_since_promotion,promotion_eligible,manager_flag,direct_reports,projects_count,top_performer,stock_options,attrition_risk,exit_date,last_review_date,next_review_date
EMP00065,62,F,Operations,Senior Manager,Austin,Associate,2016-02-29,Internal,8.0,Contract,229416,5.1,Premium,3,32,7,25,True,20,66,,,False,True,13,10,False,True,True,,2024-02-04,2024-07-03
EMP00066,56,F,Engineering,Manager,NYC,Bachelor,2020-04-23,University,3.9,Full-time,223216,10.9,Standard,4,33,5,21,False,0,240,2020-11-01,3.4,True,True,5,8,False,True,False,,2023-10-05,2024-06-21
EMP00067,60,F,Sales,Lead,HQ-SF,Bachelor,2017-01-09,LinkedIn,7.2,Full-time,219396,15.8,Premium,3,15,7,20,True,100,45,,,False,False,0,7,False,True,False,,2024-01-26,2024-09-24
EMP00068,32,M,Engineering,Manager,Toronto,Bachelor,2015-05-08,Internal,8.9,Full-time,189966,5.2,Standard,2,22,1,24,True,60,292,2020-06-05,3.8,False,True,5,4,False,True,False,,2023-12-05,2024-06-16
EMP00069,55,M,IT,Individual Contributor,Toronto,Bachelor,2019-05-05,Indeed,4.9,Full-time,92537,2.3,Premium,3,39,7,18,True,0,115,2019-05-09,4.9,True,False,0,2,False,False,False,,2023-11-18,2024-04-30
EMP00070,32,M,Marketing,Senior IC,NYC,Master,2022-12-25,LinkedIn,1.2,Full-time,142920,1.6,Standard,3,14,3,22,True,80,146,2018-12-28,5.2,True,False,0,3,False,False,True,2023-07-01,2023-10-15,2024-08-26
EMP00071,30,F,Customer Success,Senior IC,Singapore,Bachelor,2018-07-22,University,5.6,Full-time,131802,4.4,Standard,2,28,5,17,True,0,31,,,False,False,0,5,False,False,True,,2023-11-18,2024-08-24
EMP00072,62,F,Engineering,Lead,London,Bachelor,2021-03-06,Agency,3.0,Full-time,169938,7.5,Premium,3,14,2,25,False,0,77,2018-07-06,5.7,True,False,0,1,False,True,True,2021-07-07,2023-09-20,2024-06-20
EMP00073,62,M,Sales,Manager,Austin,Master,2015-05-05,Internal,8.9,Full-time,210718,17.1,Standard,3,19,7,16,False,0,90,,,False,True,6,10,False,True,False,,2023-11-25,2024-07-11
EMP00074,57,F,Engineering,Manager,Austin,Bachelor,2016-03-10,Referral,8.0,Full-time,174088,7.6,Standard,2,23,7,17,False,0,289,,,False,True,7,8,False,True,True,2022-01-16,2023-11-28,2024-08-19
EMP00075,37,F,Customer Success,Individual Contributor,Austin,Bachelor,2017-05-31,Referral,6.8,Full-time,95956,8.6,Basic,4,47,0,16,True,40,186,2022-06-29,1.7,False,False,0,1,False,False,False,,2023-09-26,2024-06-26
EMP00076,39,M,Marketing,Individual Contributor,HQ-SF,Bachelor,2021-12-27,University,2.2,Part-time,105841,14.3,Standard,4,54,2,18,False,0,102,2023-07-26,0.6,False,False,0,3,False,False,False,,2024-01-07,2024-09-16
EMP00077,42,Non-binary,Sales,Manager,Toronto,Bachelor,2016-10-27,LinkedIn,7.4,Full-time,208943,13.0,Premium,3,28,4,22,False,0,144,2021-10-06,2.4,False,True,8,9,False,True,False,,2024-02-08,2024-09-13
EMP00078,59,F,Engineering,Individual Contributor,Remote-US,Associate,2021-06-23,Indeed,2.7,Full-time,76129,13.1,Basic,4,34,10,18,True,100,8,2021-08-08,2.6,True,False,0,4,False,False,False,,2023-12-24,2024-07-28
EMP00079,25,Prefer not to say,Engineering,Individual Contributor,Austin,PhD,2022-11-30,Internal,1.3,Full-time,86584,7.7,Basic,3,24,8,20,True,100,197,,,False,False,0,5,False,False,True,2023-05-05,2023-11-30,2024-06-10
EMP00080,35,M,Marketing,Individual Contributor,Austin,Bachelor,2022-09-28,LinkedIn,1.5,Full-time,89305,6.5,Basic,5,48,10,23,True,60,88,,,False,False,0,5,False,False,False,,2023-10-24,2024-09-28
EMP00081,56,F,IT,Senior Manager,NYC,Associate,2018-01-15,Agency,6.2,Full-time,287692,3.6,Standard,4,37,10,18,True,60,134,2019-02-14,5.1,True,True,14,3,False,True,False,,2023-10-16,2024-08-14
EMP00082,40,F,Engineering,Lead,Singapore,Bachelor,2022-03-30,Referral,2.0,Full-time,167457,7.5,Standard,3,39,2,21,False,0,22,,,False,False,0,1,False,True,False,,2023-12-02,2024-04-23
EMP00083,43,M,Sales,Manager,London,Bachelor,2018-03-11,Indeed,6.0,Full-time,251369,26.7,Standard,5,55,1,20,True,60,215,2023-02-22,1.1,False,True,4,14,False,True,False,,2023-11-03,2024-08-01
EMP00084,33,F,Sales,Director,HQ-SF,Bachelor,2016-07-29,Agency,7.6,Part-time,402018,19.3,Premium,3,28,9,15,True,40,227,2019-07-15,4.7,True,True,19,10,False,True,True,,2023-10-09,2024-07-02
EMP00085,45,M,Engineering,Manager,Remote-US,Bachelor,2021-11-22,Indeed,2.3,Part-time,165232,8.0,Premium,4,59,7,23,True,100,255,2023-01-18,1.2,False,True,7,6,False,True,False,,2023-10-03,2024-08-06
EMP00086,29,F,Operations,Director,NYC,Master,2015-09-10,Indeed,8.5,Full-time,380981,35.6,Premium,2,31,6,24,True,80,164,,,False,True,13,10,False,True,True,,2023-09-23,2024-04-28
EMP00087,23,Non-binary,Engineering,Individual Contributor,NYC,Bachelor,2019-06-10,Referral,4.8,Part-time,88027,0.5,Standard,1,11,2,22,True,60,46,,,False,False,0,7,False,False,True,,2023-11-10,2024-07-19
EMP00088,30,F,Finance,Individual Contributor,London,Bachelor,2022-04-30,Internal,1.9,Full-time,86392,6.7,Standard,2,34,0,19,True,100,139,,,False,False,0,7,False,False,False,,2023-12-06,2024-06-01
EMP00089,64,F,Customer Success,Senior Manager,HQ-SF,Bachelor,2019-09-14,Indeed,4.5,Full-time,262929,3.6,Standard,2,17,1,21,True,80,105,,,False,True,6,15,False,True,True,,2023-09-20,2024-07-04
EMP00090,37,M,Finance,Director,London,Bachelor,2018-05-21,Referral,5.8,Full-time,318553,48.5,Premium,3,30,10,21,True,0,298,2019-08-19,4.6,True,True,15,9,False,True,False,,2023-10-31,2024-07-27
EMP00091,52,F,Operations,Lead,Singapore,Associate,2017-09-14,Indeed,6.5,Full-time,172965,3.3,Standard,3,23,8,23,True,20,32,2019-08-14,4.6,True,False,0,8,False,True,True,2019-12-03,2023-11-10,2024-09-15
EMP00092,59,M,Marketing,Individual Contributor,NYC,Master,2023-02-14,LinkedIn,1.1,Full-time,105973,0.1,Standard,3,39,3,16,False,0,193,,,False,False,0,4,False,False,False,,2023-12-15,2024-09-02
EMP00093,63,M,Engineering,Senior IC,Remote-US,Bachelor,2019-01-11,LinkedIn,5.2,Full-time,122646,12.1,Premium,4,40,3,20,True,100,80,2022-01-06,2.2,True,False,0,4,False,False,True,2022-03-19,2023-09-19,2024-07-29
EMP00094,58,M,Sales,Senior Manager,Singapore,Bachelor,2017-10-03,University,6.4,Full-time,267686,33.1,Standard,4,44,2,20,True,100,189,2020-12-14,3.3,True,True,13,11,False,True,False,,2024-01-26,2024-04-26
EMP00095,36,F,Marketing,Individual Contributor,London,Bachelor,2015-10-06,Indeed,8.4,Full-time,99001,7.5,Standard,2,39,15,25,True,0,136,,,False,False,0,1,False,False,True,,2023-12-03,2024-04-18
EMP00096,33,F,IT,Manager,NYC,Bachelor,2016-03-14,LinkedIn,8.0,Full-time,250253,2.1,Premium,3,12,5,21,True,20,228,2019-06-21,4.7,True,True,6,4,False,True,False,,2024-01-22,2024-07-26
EMP00097,22,M,Engineering,Senior IC,Remote-US,Bachelor,2022-11-18,Indeed,1.3,Part-time,105614,7.8,Standard,3,38,8,15,True,100,58,2018-09-25,5.5,True,False,0,8,False,False,True,,2023-12-05,2024-08-31
EMP00098,42,M,HR,Manager,Toronto,Master,2015-03-06,Referral,9.0,Full-time,253328,6.6,Standard,4,37,9,21,False,0,188,2021-06-09,2.8,True,True,7,5,False,True,False,,2023-11-18,2024-04-27
EMP00099,60,M,Customer Success,Individual Contributor,Toronto,Bachelor,2023-08-16,Agency,0.6,Full-time,86078,8.4,Basic,4,54,5,23,False,0,110,,,False,False,0,3,False,False,False,,2023-12-01,2024-06-16
EMP00100,62,M,Marketing,Lead,HQ-SF,High School,2016-09-23,LinkedIn,7.5,Full-time,239239,12.1,Premium,5,33,2,16,True,60,71,2022-06-24,1.7,False,False,0,1,False,True,True,,2023-11-08,2024-04-17
EMP00101,57,M,Customer Success,Senior IC,Remote-US,Associate,2017-09-21,Referral,6.5,Part-time,110987,1.2,Standard,3,15,6,19,True,100,107,2019-01-28,5.1,True,False,0,6,False,False,True,,2023-12-26,2024-08-09
EMP00102,43,M,Sales,Lead,Remote-US,Bachelor,2021-12-15,University,2.2,Full-time,150809,39.4,Premium,4,34,4,20,True,100,77,2020-12-12,3.3,True,False,0,7,False,True,False,,2023-10-12,2024-09-08
EMP00103,47,M,Engineering,Lead,London,PhD,2019-02-04,University,5.1,Contract,204215,0.2,Standard,2,33,14,18,True,40,88,2018-10-25,5.4,False,False,0,7,False,True,True,2020-11-15,2024-01-06,2024-07-31
EMP00104,52,M,Sales,Senior IC,Toronto,Bachelor,2021-07-12,Internal,2.7,Full-time,124967,10.4,Standard,3,38,8,24,False,0,21,2021-03-18,3.0,True,False,0,6,False,False,False,,2023-11-04,2024-07-07
EMP00105,38,M,Sales,Manager,London,Master,2017-06-28,LinkedIn,6.7,Full-time,231303,11.9,Standard,3,28,8,17,True,0,173,2020-07-16,3.7,True,True,8,4,False,True,False,,2023-11-27,2024-07-10
EMP00106,52,M,Sales,Senior Manager,Austin,Associate,2016-02-04,Referral,8.1,Full-time,205369,5.3,Standard,1,30,3,25,False,0,288,,,False,True,11,6,False,True,False,,2023-10-28,2024-08-10
EMP00107,62,M,Sales,Individual Contributor,London,Master,2022-05-16,Internal,1.8,Full-time,94775,5.1,Basic,3,16,3,19,False,0,16,,,False,False,0,3,False,False,True,2022-10-09,2023-10-12,2024-08-27
EMP00108,47,F,Engineering,Individual Contributor,Remote-US,Bachelor,2021-08-01,Indeed,2.6,Full-time,78128,6.6,Basic,4,49,9,16,True,100,172,2023-05-08,0.9,False,False,0,5,False,False,False,,2023-11-07,2024-07-30
EMP00109,53,M,Sales,Manager,NYC,Master,2022-02-16,LinkedIn,2.1,Full-time,216534,9.7,Premium,3,29,0,20,False,0,174,2018-12-11,5.3,True,True,6,11,False,True,False,,2023-10-31,2024-08-05
EMP00110,36,M,Engineering,Senior IC,Austin,Associate,2018-04-11,Referral,5.9,Full-time,126686,6.1,Standard,3,27,8,16,True,40,198,,,False,False,0,6,False,False,False,,2023-10-25,2024-08-31
EMP00111,63,F,Engineering,Senior IC,HQ-SF,Bachelor,2023-06-05,University,0.8,Full-time,145649,3.5,Standard,3,47,3,18,False,0,150,,,False,False,0,6,False,False,False,,2024-01-10,2024-06-05
EMP00112,56,F,Customer Success,Senior IC,Singapore,Bachelor,2018-02-25,LinkedIn,6.1,Full-time,155353,9.2,Standard,4,58,10,16,True,60,15,,,False,False,0,3,False,False,True,2019-11-16,2023-12-13,2024-07-23
EMP00113,48,M,Sales,Lead,Toronto,High School,2019-03-17,University,5.0,Contract,157903,19.0,Premium,3,21,7,22,True,0,99,,,False,False,0,2,False,True,False,,2023-11-15,2024-04-30
EMP00114,35,F,Engineering,Manager,Austin,Bachelor,2020-07-19,LinkedIn,3.7,Part-time,169072,6.3,Standard,2,34,1,15,True,60,54,2018-10-10,5.4,False,True,8,10,False,True,True,,2024-01-12,2024-09-27
EMP00115,27,F,Sales,Individual Contributor,Singapore,Master,2022-05-05,Agency,1.9,Contract,84447,9.6,Standard,2,32,7,21,False,0,180,2021-05-08,2.9,False,False,0,2,False,False,True,,2024-02-12,2024-04-16
EMP00116,49,M,Engineering,Individual Contributor,Remote-US,High School,2022-10-13,LinkedIn,1.4,Full-time,67505,7.4,Standard,4,39,2,21,True,100,198,,,False,False,0,3,False,False,False,,2024-01-03,2024-08-04
EMP00117,48,F,Marketing,Lead,HQ-SF,Master,2021-11-28,Indeed,2.3,Full-time,187483,5.8,Premium,2,21,13,20,False,0,31,2021-11-12,2.3,False,False,0,5,False,True,False,,2023-11-29,2024-06-05
EMP00118,40,M,Engineering,Lead,NYC,Bachelor,2022-03-31,Indeed,2.0,Full-time,172242,4.8,Premium,2,26,0,20,False,0,16,2018-11-07,5.4,False,False,0,7,False,True,True,,2024-01-27,2024-04-18
EMP00119,25,F,Sales,Individual Contributor,Singapore,Bachelor,2023-11-07,LinkedIn,0.4,Full-time,82961,6.2,Standard,3,74,8,24,True,0,79,,,False,False,0,2,False,False,False,,2023-09-30,2024-07-06
EMP00120,65,F,Engineering,Senior IC,Singapore,Master,2022-03-19,Internal,2.0,Full-time,131014,7.4,Standard,3,13,7,24,False,0,79,,,False,False,0,3,False,False,False,,2024-01-04,2024-08-19
EMP00121,38,F,Sales,Senior Manager,Toronto,Bachelor,2016-11-14,University,7.3,Full-time,269261,15.7,Standard,4,38,8,16,True,80,210,2022-05-04,1.9,False,True,12,8,False,True,True,,2024-01-05,2024-06-18
